grain,period,label,period_start,period_end,months_in_period,complete_period,price_usd_per_ton,mom,qoq,yoy,mom_basis,qoq_basis,yoy_basis,export_weight_ton,export_value_usd_000,import_weight_ton,import_value_usd_000,trade_balance_usd_000,reported_trade_balance_usd_000,trade_balance_reconcile_diff,hs_code,country,item,source_sheet,source_row,period_note
month,2015-01,Jan 2015,2015-01,2015-01,1,True,14176.2622,0.041551,,-0.010475,2014-12,,2014-01,225.8,3201.0,0.0,0.0,3201.0,3201.0,0.0,121221,Thailand,Fit for human consumption,HS CODE_Month,43,Monthly actual
month,2015-02,Feb 2015,2015-02,2015-02,1,True,13910.5339,-0.018745,,-0.133507,2015-01,,2014-02,207.9,2892.0,0.0,0.0,2892.0,2892.0,0.0,121221,Thailand,Fit for human consumption,HS CODE_Month,44,Monthly actual
month,2015-03,Mar 2015,2015-03,2015-03,1,True,13750.4642,-0.011507,,-0.059627,2015-02,,2014-03,269.3,3703.0,0.0,0.0,3703.0,3703.0,0.0,121221,Thailand,Fit for human consumption,HS CODE_Month,45,Monthly actual
month,2015-04,Apr 2015,2015-04,2015-04,1,True,13516.9009,-0.016986,,-0.126284,2015-03,,2014-04,263.3,3559.0,3.5,46.0,3513.0,3513.0,0.0,121221,Thailand,Fit for human consumption,HS CODE_Month,46,Monthly actual
month,2015-05,May 2015,2015-05,2015-05,1,True,13684.2105,0.012378,,-0.041461,2015-04,,2014-05,207.1,2834.0,0.0,0.0,2834.0,2834.0,0.0,121221,Thailand,Fit for human consumption,HS CODE_Month,47,Monthly actual
month,2015-06,Jun 2015,2015-06,2015-06,1,True,14508.9991,0.060273,,0.085955,2015-05,,2014-06,316.7,4595.0,0.0,0.0,4595.0,4595.0,0.0,121221,Thailand,Fit for human consumption,HS CODE_Month,48,Monthly actual
month,2015-07,Jul 2015,2015-07,2015-07,1,True,14371.0021,-0.009511,,0.020182,2015-06,,2014-07,140.7,2022.0,0.0,0.0,2022.0,2022.0,0.0,121221,Thailand,Fit for human consumption,HS CODE_Month,49,Monthly actual
month,2015-08,Aug 2015,2015-08,2015-08,1,True,14303.3292,-0.004709,,-0.039254,2015-07,,2014-08,162.2,2320.0,0.0,0.0,2320.0,2320.0,0.0,121221,Thailand,Fit for human consumption,HS CODE_Month,50,Monthly actual
month,2015-09,Sep 2015,2015-09,2015-09,1,True,14348.1781,0.003136,,-0.074965,2015-08,,2014-09,247.0,3544.0,0.0,0.0,3544.0,3544.0,0.0,121221,Thailand,Fit for human consumption,HS CODE_Month,51,Monthly actual
month,2015-10,Oct 2015,2015-10,2015-10,1,True,14401.084,0.003687,,-0.007404,2015-09,,2014-10,184.5,2657.0,0.0,0.0,2657.0,2657.0,0.0,121221,Thailand,Fit for human consumption,HS CODE_Month,52,Monthly actual
month,2015-11,Nov 2015,2015-11,2015-11,1,True,14282.9681,-0.008202,,-0.048513,2015-10,,2014-11,260.1,3715.0,0.0,0.0,3715.0,3715.0,0.0,121221,Thailand,Fit for human consumption,HS CODE_Month,53,Monthly actual
month,2015-12,Dec 2015,2015-12,2015-12,1,True,13763.8122,-0.036348,,0.011247,2015-11,,2014-12,144.8,1993.0,0.1,1.0,1992.0,1992.0,0.0,121221,Thailand,Fit for human consumption,HS CODE_Month,54,Monthly actual
month,2016-01,Jan 2016,2016-01,2016-01,1,True,14026.8184,0.019109,,-0.010542,2015-12,,2015-01,246.1,3452.0,0.0,0.0,3452.0,3452.0,0.0,121221,Thailand,Fit for human consumption,HS CODE_Month,55,Monthly actual
month,2016-02,Feb 2016,2016-02,2016-02,1,True,15084.9793,0.075438,,0.084428,2016-01,,2015-02,217.7,3284.0,0.0,0.0,3284.0,3284.0,0.0,121221,Thailand,Fit for human consumption,HS CODE_Month,56,Monthly actual
month,2016-03,Mar 2016,2016-03,2016-03,1,True,15358.8886,0.018158,,0.116972,2016-02,,2015-03,388.7,5970.0,0.0,0.0,5970.0,5970.0,0.0,121221,Thailand,Fit for human consumption,HS CODE_Month,57,Monthly actual
month,2016-04,Apr 2016,2016-04,2016-04,1,True,17144.6945,0.116272,,0.268389,2016-03,,2015-04,311.0,5332.0,0.0,0.0,5332.0,5332.0,0.0,121221,Thailand,Fit for human consumption,HS CODE_Month,58,Monthly actual
month,2016-05,May 2016,2016-05,2016-05,1,True,17259.814,0.006715,,0.261294,2016-04,,2015-05,387.2,6683.0,0.0,0.0,6683.0,6683.0,0.0,121221,Thailand,Fit for human consumption,HS CODE_Month,59,Monthly actual
month,2016-06,Jun 2016,2016-06,2016-06,1,True,16945.9804,-0.018183,,0.167963,2016-05,,2015-06,235.1,3984.0,0.0,0.0,3984.0,3984.0,0.0,121221,Thailand,Fit for human consumption,HS CODE_Month,60,Monthly actual
month,2016-07,Jul 2016,2016-07,2016-07,1,True,17954.0636,0.059488,,0.249326,2016-06,,2015-07,283.0,5081.0,0.0,0.0,5081.0,5081.0,0.0,121221,Thailand,Fit for human consumption,HS CODE_Month,61,Monthly actual
month,2016-08,Aug 2016,2016-08,2016-08,1,True,18063.2716,0.006083,,0.262872,2016-07,,2015-08,259.2,4682.0,0.0,0.0,4682.0,4682.0,0.0,121221,Thailand,Fit for human consumption,HS CODE_Month,62,Monthly actual
month,2016-09,Sep 2016,2016-09,2016-09,1,True,18275.4443,0.011746,,0.273712,2016-08,,2015-09,247.6,4525.0,0.0,0.0,4525.0,4525.0,0.0,121221,Thailand,Fit for human consumption,HS CODE_Month,63,Monthly actual
month,2016-10,Oct 2016,2016-10,2016-10,1,True,18007.5012,-0.014661,,0.250427,2016-09,,2015-10,213.3,3841.0,20.8,309.0,3532.0,3532.0,0.0,121221,Thailand,Fit for human consumption,HS CODE_Month,64,Monthly actual
month,2016-11,Nov 2016,2016-11,2016-11,1,True,18055.8981,0.002688,,0.264156,2016-10,,2015-11,243.3,4393.0,0.0,0.0,4393.0,4393.0,0.0,121221,Thailand,Fit for human consumption,HS CODE_Month,65,Monthly actual
month,2016-12,Dec 2016,2016-12,2016-12,1,True,18083.4002,0.001523,,0.313837,2016-11,,2015-12,124.7,2255.0,0.0,0.0,2255.0,2255.0,0.0,121221,Thailand,Fit for human consumption,HS CODE_Month,66,Monthly actual
month,2017-01,Jan 2017,2017-01,2017-01,1,True,18664.7727,0.03215,,0.330649,2016-12,,2016-01,246.4,4599.0,0.0,0.0,4599.0,4599.0,0.0,121221,Thailand,Fit for human consumption,HS CODE_Month,67,Monthly actual
month,2017-02,Feb 2017,2017-02,2017-02,1,True,19666.5725,0.053673,,0.303719,2017-01,,2016-02,353.9,6960.0,0.0,0.0,6960.0,6960.0,0.0,121221,Thailand,Fit for human consumption,HS CODE_Month,68,Monthly actual
month,2017-03,Mar 2017,2017-03,2017-03,1,True,20440.7713,0.039366,,0.330876,2017-02,,2016-03,363.0,7420.0,0.0,0.0,7420.0,7420.0,0.0,121221,Thailand,Fit for human consumption,HS CODE_Month,69,Monthly actual
month,2017-04,Apr 2017,2017-04,2017-04,1,True,20426.1068,-0.000717,,0.191395,2017-03,,2016-04,481.1,9827.0,0.0,0.0,9827.0,9827.0,0.0,121221,Thailand,Fit for human consumption,HS CODE_Month,70,Monthly actual
month,2017-05,May 2017,2017-05,2017-05,1,True,21830.9859,0.068779,,0.264845,2017-04,,2016-05,539.6,11780.0,0.0,0.0,11780.0,11780.0,0.0,121221,Thailand,Fit for human consumption,HS CODE_Month,71,Monthly actual
